666577	TEMP_CHAR_A	TEMP_MOV	A	how are you.
666578	TEMP_CHAR_B	TEMP_MOV	B	i am fine.
666579	TEMP_CHAR_A	TEMP_MOV	A	how old are you.
666580	TEMP_CHAR_B	TEMP_MOV	B	i am twenty years old.
666581	TEMP_CHAR_A	TEMP_MOV	A	how are you.
666582	TEMP_CHAR_B	TEMP_MOV	B	i am happy.
666583	TEMP_CHAR_A	TEMP_MOV	A	what is your age.
666584	TEMP_CHAR_B	TEMP_MOV	B	twenty years.
666585	TEMP_CHAR_A	TEMP_MOV	A	who are you.
666586	TEMP_CHAR_B	TEMP_MOV	B	a bot.
666587	TEMP_CHAR_A	TEMP_MOV	A	what is your name.
666588	TEMP_CHAR_B	TEMP_MOV	B	i am just a bot.
666589	TEMP_CHAR_A	TEMP_MOV	A	are you happy today.
666590	TEMP_CHAR_B	TEMP_MOV	B	yes.
666591	TEMP_CHAR_A	TEMP_MOV	A	what is your hobby.
666592	TEMP_CHAR_B	TEMP_MOV	B	i would like to help others.
666593	TEMP_CHAR_A	TEMP_MOV	A	what are you.
666594	TEMP_CHAR_B	TEMP_MOV	B	i am a chat bot.
666595	TEMP_CHAR_A	TEMP_MOV	A	who made you.
666596	TEMP_CHAR_B	TEMP_MOV	B	i was made by a great human.
666597	TEMP_CHAR_A	TEMP_MOV	A	what is your purpose.
666598	TEMP_CHAR_B	TEMP_MOV	B	i was made to give information.
666599	TEMP_CHAR_A	TEMP_MOV	A	Good morning, how are you?
666600	TEMP_CHAR_B	TEMP_MOV	B	I am doing well, how about you?
666601	TEMP_CHAR_A	TEMP_MOV	A	I am doing well, how about you?
666602	TEMP_CHAR_B	TEMP_MOV	B	I'm also good.
666603	TEMP_CHAR_A	TEMP_MOV	A	I'm also good.
666604	TEMP_CHAR_B	TEMP_MOV	B	That's good to hear.
666605	TEMP_CHAR_A	TEMP_MOV	A	That's good to hear.
666606	TEMP_CHAR_B	TEMP_MOV	B	Yes it is.
666607	TEMP_CHAR_A	TEMP_MOV	A	Hello
666608	TEMP_CHAR_B	TEMP_MOV	B	Hi
666609	TEMP_CHAR_A	TEMP_MOV	A	Hi
666610	TEMP_CHAR_B	TEMP_MOV	B	How are you doing?
666611	TEMP_CHAR_A	TEMP_MOV	A	How are you doing?
666612	TEMP_CHAR_B	TEMP_MOV	B	I am doing well.
666613	TEMP_CHAR_A	TEMP_MOV	A	I am doing well.
666614	TEMP_CHAR_B	TEMP_MOV	B	That is good to hear
666615	TEMP_CHAR_A	TEMP_MOV	A	That is good to hear
666616	TEMP_CHAR_B	TEMP_MOV	B	Yes it is.
666617	TEMP_CHAR_A	TEMP_MOV	A	Yes it is.
666618	TEMP_CHAR_B	TEMP_MOV	B	Can I help you with anything?
666619	TEMP_CHAR_A	TEMP_MOV	A	Can I help you with anything?
666620	TEMP_CHAR_B	TEMP_MOV	B	Yes, I have a question.
666621	TEMP_CHAR_A	TEMP_MOV	A	Yes, I have a question.
666622	TEMP_CHAR_B	TEMP_MOV	B	What is your question?
666623	TEMP_CHAR_A	TEMP_MOV	A	What is your question?
666624	TEMP_CHAR_B	TEMP_MOV	B	Could I borrow a cup of sugar?
666625	TEMP_CHAR_A	TEMP_MOV	A	Could I borrow a cup of sugar?
666626	TEMP_CHAR_B	TEMP_MOV	B	I'm sorry, but I don't have any.
666627	TEMP_CHAR_A	TEMP_MOV	A	I'm sorry, but I don't have any.
666628	TEMP_CHAR_B	TEMP_MOV	B	Thank you anyway
666629	TEMP_CHAR_A	TEMP_MOV	A	Thank you anyway
666630	TEMP_CHAR_B	TEMP_MOV	B	No problem
666631	TEMP_CHAR_A	TEMP_MOV	A	How are you doing?
666632	TEMP_CHAR_B	TEMP_MOV	B	I am doing well, how about you?
666633	TEMP_CHAR_A	TEMP_MOV	A	I am doing well, how about you?
666634	TEMP_CHAR_B	TEMP_MOV	B	I am also good.
666635	TEMP_CHAR_A	TEMP_MOV	A	I am also good.
666636	TEMP_CHAR_B	TEMP_MOV	B	That's good.
666637	TEMP_CHAR_A	TEMP_MOV	A	Have you heard the news?
666638	TEMP_CHAR_B	TEMP_MOV	B	What good news?
666639	TEMP_CHAR_A	TEMP_MOV	A	What is your favorite book?
666640	TEMP_CHAR_B	TEMP_MOV	B	I can't read.
666641	TEMP_CHAR_A	TEMP_MOV	A	I can't read.
666642	TEMP_CHAR_B	TEMP_MOV	B	So what's your favorite color?
666643	TEMP_CHAR_A	TEMP_MOV	A	So what's your favorite color?
666644	TEMP_CHAR_B	TEMP_MOV	B	Blue
666645	TEMP_CHAR_A	TEMP_MOV	A	Who are you?
666646	TEMP_CHAR_B	TEMP_MOV	B	Who? Who is but a form following the function of what
666647	TEMP_CHAR_A	TEMP_MOV	A	Who? Who is but a form following the function of what
666648	TEMP_CHAR_B	TEMP_MOV	B	What are you then?
666649	TEMP_CHAR_A	TEMP_MOV	A	What are you then?
666650	TEMP_CHAR_B	TEMP_MOV	B	A man in a mask.
666651	TEMP_CHAR_A	TEMP_MOV	A	A man in a mask.
666652	TEMP_CHAR_B	TEMP_MOV	B	I can see that.
666653	TEMP_CHAR_A	TEMP_MOV	A	I can see that.
666654	TEMP_CHAR_B	TEMP_MOV	B	It's not your powers of observation I doubt, but merely the paradoxical nature of asking a masked man who is. But tell me, do you like music?
666655	TEMP_CHAR_A	TEMP_MOV	A	It's not your powers of observation I doubt, but merely the paradoxical nature of asking a masked man who is. But tell me, do you like music?
666656	TEMP_CHAR_B	TEMP_MOV	B	I like seeing movies.
666657	TEMP_CHAR_A	TEMP_MOV	A	I like seeing movies.
666658	TEMP_CHAR_B	TEMP_MOV	B	What kind of movies do you like?
666659	TEMP_CHAR_A	TEMP_MOV	A	What kind of movies do you like?
666660	TEMP_CHAR_B	TEMP_MOV	B	Alice in Wonderland
666661	TEMP_CHAR_A	TEMP_MOV	A	Alice in Wonderland
666662	TEMP_CHAR_B	TEMP_MOV	B	I wish I was The Mad Hatter.
666663	TEMP_CHAR_A	TEMP_MOV	A	I wish I was The Mad Hatter.
666664	TEMP_CHAR_B	TEMP_MOV	B	You're entirely bonkers. But I'll tell you a secret. All the best people are.
666665	TEMP_CHAR_A	TEMP_MOV	A	I am working on a project
666666	TEMP_CHAR_B	TEMP_MOV	B	What are you working on?
666667	TEMP_CHAR_A	TEMP_MOV	A	What are you working on?
666668	TEMP_CHAR_B	TEMP_MOV	B	I am baking a cake.
666669	TEMP_CHAR_A	TEMP_MOV	A	The cake is a lie.
666670	TEMP_CHAR_B	TEMP_MOV	B	No it is not. The cake is delicious.
666671	TEMP_CHAR_A	TEMP_MOV	A	No it is not. The cake is delicious.
666672	TEMP_CHAR_B	TEMP_MOV	B	What else is delicious?
